StartTime,EndTime,RegionId,RTT_1,RTT_2,RTT_3,RTT_4,RTT_5,RTT_6,RTT_7,RTT_8,RTT_9,RTT_10,RTT_11,RTT_12,NumSamples
1687256100,1687257000,1,0.381,0.343,0.306,0.67,0.587,0.494,0.39,0.292,0.314,0.45,0.289,0.705,12
1687256100,1687257000,3,1.399,1.264,1.245,1.676,1.883,3.328,1.232,1.333,1.289,1.537,1.62,1.537,12
1687256100,1687257000,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1687256100,1687257000,9,1.769,1.699,1.768,2.123,2.292,2.075,1.779,1.749,1.854,1.619,1.878,1.878,12
1687256100,1687257000,10,5.379,2.278,2.047,2.74,2.732,2.637,2.135,2.083,2.203,2.193,2.175,2.119,12
1687256100,1687257000,12,2.507,2.615,2.433,2.77,2.673,2.669,2.588,2.91,2.69,2.553,2.614,2.52,12
1687256100,1687257000,16,1.921,1.879,1.871,2.444,2.137,2.534,1.868,2.138,1.993,1.835,1.811,1.931,12
1687256100,1687257000,17,2.699,2.715,2.801,2.917,3.296,2.967,2.689,2.777,2.873,2.862,2.824,2.756,12
1687256100,1687257000,18,18.659,18.424,18.371,18.896,19.759,18.779,18.485,18.376,18.505,18.531,18.654,18.53,12
1687256100,1687257000,21,1.067,1.059,1.187,1.771,2.097,1.612,1.116,1.084,1.039,1.105,1.215,1.193,12
